end,end 2,end 3
Techno Commerce,"Ground Floor, Near Bhiringi School, Ambagan Road, Benachity, Durgapur - 713213",08603400500
United Engineering,"Road No-53, Near Anukul Thakur Ashram, Nivedita Place, Benachity, Durgapur - 713213",09093101015
Electrical Contractors of Durgapur,,
B.S. Electrical Traders,"Gurudwara Road, 2nd Lane, Benachity, Durgapur - 713213",0343- 2584114/ 9434360147
Biswas Electrical Works,"Roydanga, Unnayan Pally, Durgapur- 713201",0343- 2558758
Calcutta Power Cons. Co .,"Benachity, Durgapur - 713213",0343 2582397/ 2582693/ 9832195040
Das Enterprise,"Bankura More, Durgapur-1",0343 2554907
Dhanya Electric Enterprises,"Benachity, Durgapur-13",0343 2588076
Durgapur Electronics & Servicing Centre,"Stall No. 7, Gurunanak Road, A-Zone, Durgapur- 713204",0343 2564593
ESS PEE Electrical,"Mahiskapur Plot, Benachity, Durgapur - 713213",0343 2582580/ 9434215318
Intertek India PVT.LTD.,"Plot No.5310, Aesby More, SchoolPara, Durgapur - 713201",0343- 2559723
Khaitan Sales Co.(Power Transmission Engineers),"Gurudwara Road, Benachity, Durgapur-13",0343 2583110
Nirman Enterprise,"B-91, Sector-2A, Biplabi Bipin Chandra Paul Sarani, Bidhannagar, Durgapur - 713212",0343- 2533041/ 9333919474
Power Grid Corpn Of India Limited,"Durgapur Sub Station, Parulia, Dhabani, Durgapur - 713205",0343- 2645397
Power Wave,"Near Primary School, Piyala, Durgapur Alloy Steel Project, Durgapur - 713208",09434358832/ 9434531164
Silver Line Electricals,"34 Subhas Pally, Michel Sarani, Benachity, Durgapur - 713213",0343- 2586196/ 9332161707/ 9476425002
Sivecon Power Construction,"34 Subhas Pally, Michel Sarani, Benachity, Durgapur - 713213",0343- 2583489
Sree Durga Construction,"32A, Aesby Industrial Estate, Sanjib Sarani, Durgapur - 713201",0343- 2554645/ 8016096802
Supercritical Electrical System,"34 Subhas Pally, Michel Sarani, Benachity, Durgapur - 713213",0343- 2569796/ 9434081983
Supriya Electricals,"P 59, Near Amarbati More, Arbinda Pally, Defence Colony, Durgapur - 713214",09874484860
Uttam Electricals,"4A/ 2 Rishi Aurabinda Nagar, P.o. Amrai, Durgapur - 713203",09332073558/ 9434332905
Mechanical Contractors of Durgapur,,
A and A Enterprise,"Mamra, Sukanta Pally, Durgapur-6",0343 2500415
Aadesh Engineering,"12/1, Einestein Avenue, B-Zone, Durgapur - 713205",0343-26055680/ 9434050320
Durgapur Equipments,"D/266, Eagle Street, Bidhannagar, Durgapur - 713212",0343 2553503/ 9434214701
Evergreen Construction Durgapur Pvt. Ltd.,"Benachity, Durgapur-13",0343 25831941/ 9333794142
M/S Roy Mitra Enterprises,"G T Road, Durgapur - 713213",0343- 2582596/ 2584825/ 9434028054
Mahalaxmi Mechciv Enterprise,"Lilawati Bhavan, Near Aasram, New Steel Park, Durgapur - 713206",09932252631/ 9832758580
Santosh Enterprise,"Amrai Main Road, Durgapur - 713203",0343- 2575639/ 9474885110
Sarojini Engineering Works,"D-147, Yurigagarin Path, Bidhannagar, Durgapur - 713212",0343-  2534005/ 9434002221
Shankar Enterprise,"Roy Building, Opposite way to Dena Bank, Nachan Road, Bhiringi, Durgapur - 713213",0343-  2583374/ 9434467994
