end,end 2,end 3
Spyker Store,"Junction Mall, City Centre, Durgapur - 713216",09775244654
Style,"Station Road, Durgapur - 713201","0343 2557181, +91-9434200992"
Stylein,"Rajlakshmi Building, Benachity market, Durgapur-13",0343 2582552
Stylotex,"Opposite of Jalkhabar Gully, Benachity market, Durgapur-713213",0343 2586907/ 9732265537/ 9434537218
Sudhamoye,"Stall no-113, Sarat chandra Avenue (East), Chandidas market,  B-Zone, Durgapur - 713205",09475131224
Taj Stores,"Prantika, A-Zone, Durgapur - 713204",+91 9333644585
The Tradition,"Benachity market, Durgapur-13",0343 2584564
Turtle Store,"187, Junction mall, City Centre, Durgapur - 713216",07679253531
Turtle World,"Junction Mall, 1st Floor, Shop No 127, City Centre, Durgapur - 713216",0343- 2542439
United Colours of Benetton,"UG 22, Junction Mall, City Centre, Durgapur - 713216",08927244908
Utsav,Durgapur,0343 2501814
Van Heusen Store,"UG 24, Junction Mall ground floor, City Centre, Durgapur - 713216",09933661702
Vimal Showroom,"Beside Kohinoor Hotel, Nachan Road, Benachity, Durgapur - 713213",0343-2584844/ 9333900222
